Latitude,Longitude,District,TOPSIS_Score
31.57795673,74.78875918,Amritsar I Tahsil,0.9140302266201098
31.6123072,74.58488591,Amritsar I Tahsil,0.9085564487847735
31.63422184,74.83924727,Amritsar I Tahsil,0.9082540591996041
31.63064733,74.80353073,Amritsar I Tahsil,0.9028651576102682
31.56826409,74.68575319,Amritsar I Tahsil,0.9024261667246259
31.60698198,74.96597635,Amritsar II Tahsil,0.9014145719426181
31.58077394,74.70230051,Amritsar I Tahsil,0.9005052257685735
31.61938419,74.6622018,Amritsar I Tahsil,0.8939637279314152
31.56490415,74.71193161,Amritsar I Tahsil,0.891409722079872
31.62124385,74.70378993,Amritsar I Tahsil,0.8906568912688185
31.61012469,75.04565696,Amritsar II Tahsil,0.8890971853355102
31.60020003,74.62900506,Amritsar I Tahsil,0.8890046534184833
31.57925391,74.78370285,Amritsar I Tahsil,0.8872855383463529
31.57416403,74.70843082,Amritsar I Tahsil,0.886537878634864
31.5878845,74.72561407,Amritsar I Tahsil,0.8843087878783178
31.61878615,74.6389599,Amritsar I Tahsil,0.8833587187735696
31.6183345,74.55846159,Amritsar I Tahsil,0.8824171480647456
31.63423492,75.09412339,Baba Bakala Tahsil,0.8715708751801687
31.56794622,74.72778529,Amritsar I Tahsil,0.869896886272991
31.62830036,74.70234249,Ajnala Tahsil,0.8648221022355679
31.61295819,74.73069231,Amritsar I Tahsil,0.8646683546097637
31.55423809,74.71928672,Amritsar I Tahsil,0.8641067925931684
31.61296546,75.04695608,Amritsar II Tahsil,0.8613028108328271
31.5312711,75.09265543,Baba Bakala Tahsil,0.8598390733432716
31.63419133,75.09185699,Baba Bakala Tahsil,0.8506044857560251
31.5889059,74.69953562,Amritsar I Tahsil,0.8454619768570586
31.61312749,74.65031606,Amritsar I Tahsil,0.8390519661441121
31.63090599,74.64750249,Ajnala Tahsil,0.821912440910846
31.58360024,74.66297516,Amritsar I Tahsil,0.8213821803375464
31.55363907,74.68920453,Amritsar I Tahsil,0.8201780717068062
31.59579448,75.02255194,Amritsar II Tahsil,0.815607283644469
31.58116224,74.64485257,Amritsar I Tahsil,0.8073490395632682
31.53079658,75.07399203,Amritsar II Tahsil,0.754560838982239
31.63194918,74.68023818,Ajnala Tahsil,0.7535612557034654
31.62270727,75.06517808,Baba Bakala Tahsil,0.7151004612528242
31.58453553,74.75431866,Amritsar I Tahsil,0.6993460389381626
31.62744163,74.94944889,Amritsar II Tahsil,0.6978222346073715
31.61202816,75.09064259,Baba Bakala Tahsil,0.6362199864555125
31.59259574,74.88131048,Amritsar I Tahsil,0.5481731471793503
31.59176403,74.82937581,Amritsar I Tahsil,0.5407665558090057
31.63240381,74.75663303,Amritsar I Tahsil,0.5376041290073872
31.5683042,74.83850559,Amritsar I Tahsil,0.499106199419896
31.6056619,74.99138438,Amritsar II Tahsil,0.49664699115752686
31.59365916,74.97335728,Amritsar II Tahsil,0.309497777115323
31.61126461,74.72418076,Amritsar I Tahsil,0.21850161826064116
31.61817157,75.05763315,Amritsar II Tahsil,0.09881029128068815
31.6163584,75.05101774,Amritsar II Tahsil,0.08769331711013675
