Latitude,Longitude,TOPSIS_Score
31.57795673,74.78875918,0.9150368537126282
31.63422184,74.83924727,0.9091386206522376
31.6123072,74.58488591,0.9061315899895098
31.63064733,74.80353073,0.90367381118454
31.60698198,74.96597635,0.9026964969777443
31.56826409,74.68575319,0.8998354320627951
31.58077394,74.70230051,0.8983607832389969
31.61938419,74.6622018,0.8918202427319163
31.61012469,75.04565696,0.889276226190946
31.56490415,74.71193161,0.8889106300371931
31.62124385,74.70378993,0.8887126253005708
31.57925391,74.78370285,0.8879311983555966
31.60020003,74.62900506,0.8871409586555922
31.57416403,74.70843082,0.8844343395905736
31.5878845,74.72561407,0.882879133526885
31.61878615,74.6389599,0.881520293448874
31.6183345,74.55846159,0.8799328510606
31.63423492,75.09412339,0.8709309452941886
31.56794622,74.72778529,0.8680059346047002
31.61295819,74.73069231,0.8638085886648035
31.62830036,74.70234249,0.8633229950519803
31.55423809,74.71928672,0.8619659876742694
31.61296546,75.04695608,0.8614986199161307
31.5312711,75.09265543,0.8588529937652183
31.63419133,75.09185699,0.8501887473117457
31.5889059,74.69953562,0.8440712520882604
31.61312749,74.65031606,0.8376904657426527
31.63090599,74.64750249,0.8207335767990762
31.58360024,74.66297516,0.820211829075876
31.55363907,74.68920453,0.8185381665922246
31.59579448,75.02255194,0.8158051459219446
31.58116224,74.64485257,0.8062958861387631
31.53079658,75.07399203,0.7543682917349492
31.63194918,74.68023818,0.752842304852524
31.62270727,75.06517808,0.7152454612734801
31.58453553,74.75431866,0.6994811010169296
31.62744163,74.94944889,0.6983423274630636
31.61202816,75.09064259,0.6362011736652425
31.59259574,74.88131048,0.5480038611420814
31.59176403,74.82937581,0.5412872059772327
31.63240381,74.75663303,0.538372871027608
31.5683042,74.83850559,0.49919183583794746
31.6056619,74.99138438,0.49714499954259994
31.59365916,74.97335728,0.3101813768346434
31.61126461,74.72418076,0.22114993135653585
31.61817157,75.05763315,0.10100774681972903
31.6163584,75.05101774,0.09011228477570835
